benchmark	dangless	dune
bzip2	1.019	1.000
mcf	1.000	1.000
namd	1.027	1.011
gobmk	11.375	1.004
soplex	22.430	1.000
povray	16.305	1.054
hmmer-old	58.604	1.007
hmmer-new	1.039	1.007
sjeng	1.005	1.001
libquantum	9.317	1.002
h264ref	12.236	1.002
lbm	1.002	1.001
astar	9.772	1.000
